Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
24.43773663803545,56.13071860138404,22.857052201607782,22.538768833550478,41.50866272489114,1.6904389402934146,1.697492567830466,26.57685004488145,290.00182140520144,Good
13.680127150076036,55.50771163812578,8.03340425367761,14.203448463042525,17.07699161281736,2.1685054371535424,1.101594325429247,8.633166268930962,702.3113765603039,Good
28.003609566451658,49.5501013124183,4.76336315853539,9.302276326798733,39.44400746121502,2.198445271175035,0.6361484855742506,1.5732215496986568,565.6303371244525,Good
29.524517731129713,66.4272439298375,35.79141291492031,64.81736357617915,8.746424947960547,7.820364998849206,0.17775089535092337,12.998219657640794,547.455458678381,Moderate
6.391718490769309,63.51969281557139,52.43173848982299,58.66332621304089,7.268558727809649,0.1797100170678452,2.9698129040757784,7.353337349002116,283.03551459396465,Poor
11.582563945101455,36.140254525958724,3.5813215785809067,2.9851023035032975,33.049419348822305,7.322890998159387,1.3919129065505007,21.902261389072784,193.37603271885433,Good
23.022723225338282,35.22711007140963,36.634954063531126,55.76946133387373,22.938401418171004,3.9249154484630027,1.317898869411633,6.453436873972423,218.425439909666,Poor
19.470059261251343,66.37026679808632,26.86624428526494,40.82896072953046,4.472605149869086,0.9954550778733127,0.725226860556561,2.343257646070347,771.9637518912691,Moderate
21.86559073996569,47.770703568081984,9.855591787411125,16.131056228720208,44.08887910750762,9.10215955151704,0.18635265052045455,14.186904319737996,68.21351804962774,Good
15.175648579411359,64.53061732650485,23.085560542302982,43.861488968460336,14.451306189155675,7.6893222126954495,0.6005893072582233,8.461165003772546,547.472336559913,Moderate
29.03518379890263,71.71397367163783,6.829211928695926,8.017089875955694,15.466160049204863,2.4193823588945538,2.65907320086561,7.638105447149983,547.6096446618569,Moderate
28.222335483431586,40.93570743891661,16.449892870316695,31.689840552235548,48.31486577677599,8.616902626743148,0.3186175477908992,9.436702127331952,328.936566559845,Moderate
22.528245580489727,38.82694118135723,19.86554785125752,38.401827701430705,40.21555020511417,14.611166267599486,0.14513607037517406,9.185626185013415,491.0239291418762,Moderate
31.01792965574426,85.11647523592943,46.24844507282467,65.51413728257405,38.08186592887027,0.24102154514929583,2.9424770223484416,13.260001770069445,542.8084503142107,Hazardous
25.740074738016364,65.27356174443689,15.80756405408728,20.77824216946157,8.773657560532431,1.7322271131981346,0.4878149342076222,17.307633296567055,211.21367940589585,Good
15.125660296934093,53.711390149900936,10.856489320241483,21.175953285045743,19.24535661073059,10.510750784000138,0.8710175490415475,16.156189961988705,302.64071054152083,Good
24.95000627265999,45.99089321030605,25.38923127188558,34.06918659785832,22.089698122428132,4.58125533830484,1.3327890581645019,17.856601517288723,466.4772048371305,Moderate
14.328939193368008,52.343387266390806,29.807691343008443,46.984719577242444,6.722309257996085,3.5391394850329148,3.5893987271447947,3.862343728965838,474.1763149825213,Poor
